polid,politician,firstvote,dateofdeath,w_deflated,dod_father,source_father,pod_father,dod_mother,source_mother,pod_mother,wealth_father,wealth_mother,wealth_misc,misc1,misc2
00337,van Doorn,1914-12-11,1921-04-05,"212376,5373",1882-08-02,https://nl.wikipedia.org/wiki/Elisa_Cornelis_Unico_van_Doorn,Maarn,1895-08-10,https://www.geni.com/people/Rudolphine-Weerts/6000000017477968730,"Velp, Rheden (memorie maybe Utrecht?) ",,"174561,72",,verzoek tot digitalisering ingediend by BHIC,
00344,Drion,1914-12-11,1948-12-13,"-204,5455",1886-11-06,https://www.genealogieonline.nl/stamboom_drion/I9.php,Den Haag,1937-09-08,https://www.genealogieonline.nl/stamboom_drion/I13.php,Putten,0,,,"Wel Tafel V-bis, niet memorie",
00348,Drucker,1911-03-10,1917-09-05,"2193823,8843",1884-04-08,http://www.jodeninnederland.nl/id/P-3871,Voorschoten,,https://www.openarch.nl/search.php?name=Johanna+Carolina+Christina+Margaretha+Therese+Temme,,9929219.06,,,,
00349,Dullert,1878-05-24,1881-02-24,"1574421,5402",1871-02-14,https://www.openarch.nl/gld:AFA29EB7-24DB-4F9F-8689-F0B541228ABE,Arnhem,1865-1028,https://www.openarch.nl/search.php?name=Jenneke+Lucia+van+Riemsdijk,Arnhem,,,,,
00354,Duymaer van Twist,1911-03-10,1961-08-07,NA,,,,,,,,,,,
00356,Duys,1911-03-10,1918-12-06,NA,,,,,,,,,,,
00356,Duynstee,1911-03-10,1918-12-06,"-3988,1900",1919-04-02,https://www.genealogieonline.nl/stamboom-smits-van-oyen/I7036.php,Den Haag,1875-01-15,https://www.genealogieonline.nl/stamboom-smits-van-oyen/I7037.php,Den Haag,,,,vader waarschijnlijk in offline-kantoren,
00357,Duijs,1916-07-18,1941-09-16,NA,,,,,,,,,,,
00360,Dijckmeester,1878-05-24,1891-11-09,"84325,4771",1873-04-21,https://www.geni.com/people/Herman-Dijckmeester/6000000016203897521,Tiel?,1838-06-19,https://www.openarch.nl/search.php?name=Jacoba+Hermanna+Verschoor,Lent,,,,,
00368,van Eck,1878-05-24,1895-03-13,"291161,5598",1825-09-03,https://www.geni.com/people/Pieter-van-Eck/6000000017803950153,Middelberg,1860-10-11,https://www.geni.com/people/Theodora-Alida-Buijze/6000000017802503388,Axel,,,,,
00369,Eerdmans,1914-06-03,1948-04-29,NA,,,,,,,,,,,
00374,Eland,1911-03-10,1927-08-08,"9815,6109",1892-08-24,https://www.geni.com/people/Johannes-Cornelis-Eland/6000000036788038320,Bemmel,1875-12-24,https://www.geni.com/people/Martina-Margaretha-van-der-Zanden/6000000036788038314,Bemmel,61128.48,,,,
00376,Elhorst,1911-03-10,1935-04-22,"38359,8272",1881-10-19,https://www.genealogieonline.nl/en/genealogie-koek/I51768.php,Enschede,,https://www.genealogieonline.nl/en/genealogie-koek/I51769.php,,34586.5,,,,
00397,Farncombe Sanders,1893-06-23,1896-09-07,"14176,6313",1888-08-08,https://www.genealogieonline.nl/stamboom-driessen/I7392203.php,Breda,1871-11-23,https://www.genealogieonline.nl/stamboom-driessen/I7392205.php,Ginneken,11761.92,,,,
00400,van der Feltz,1878-05-24,1910-12-02,"718305,9942",1870-08-07,https://nl.wikipedia.org/wiki/Gustaaf_Willem_van_der_Feltz_(1793-1870),Epe,1862,https://nl.wikipedia.org/wiki/Gustaaf_Willem_van_der_Feltz_(1793-1870),,,,160761.62,Heeft een broer die in 1904 is doodgegaan,https://www.genealogieonline.nl/en/stamboom-baris/I28095.php
00404,Ferf,1893-06-23,1916-04-29,NA,,,,,,,,,,,
00408,Fleskens,1911-03-10,1965-02-01,NA,,,,,,,,,,,
00410,Fock,1914-06-03,1941-10-17,"287363,8177",1910-05-09,https://www.geni.com/people/Cornelis-Fock/6000000013030256893,Den Haag,1909,https://www.genealogieonline.nl/stamboom-stoffels/I4148.php,Den Haag,-9865.05,3000,,,
00417,van Foresst,1911-03-10,1922-09-19,NA,,,,,,,,,,,
00421,Fransen van de Putte,1878-05-24,1902-03-03,NA,,,,,,,,,,,
00430,Fruytier,1916-07-18,1929-06-20,NA,,,,,,,,,,,
00432,de Geer,1911-03-10,1960-11-27,NA,,,,,,,,,,,
00438,de Geer ,,,,,,,,,,,,,,
"Jutfaas""",1893-06-23,1902-08-07,NA,,,,,,,,,,,,
00447,Gerhard,1914-06-03,1948-07-03,NA,,,,,,,,,,,
00448,Gerretson,1914-06-03,1930-10-29,"-12928,8946",1900-06-28,https://www.genealogieonline.nl/genealogie-onvlee/I6171.php,Rotterdam,1878,https://www.genealogieonline.nl/genealogie-onvlee/I1076.php,,2367,,,,
00450,Gerritsen,1893-06-23,1905-07-05,NA,,,,,,,,,,,
